username,password,expiry_date,security_question,security_answer,cust_id
deal_athletics6001,Yo#I7W8by#Ni,2024-10-04,What is your oldest sibling's middle name?,Ray,1
transcript_suite7900,D17dCNh&jvYA,2024-05-12,What is your oldest cousin's first name?,Amanda,2
puzzle_string7536,gF4sYP48yQI^,2024-01-06,What was your childhood nickname?,Beckett,3
chapter_inventor6152,$&i%rTEbyZ#^,2023-02-12,What is the first name of the boy or girl that you first kissed?,Suzanna,4
density_chatter1824,ESSr0NBZqyYz,2024-06-03,What is your oldest cousin's first name?,Madden,5
salesman_lung2539,UuWOINR$gTt9,2023-06-16,What is your oldest cousin's first name?,Conway,6
sovereignty_thermostat5382,WojiLwLY9z4e,2024-02-19,What is your oldest sibling's middle name?,Luke,7
headache_goofy8900,Nh1WLOKg7JWu,2024-08-28,What was your childhood nickname?,Celestino,8
blood_television5354,SEsyfs&25OBa,2022-12-29,What is the name of your favorite childhood friend?,Darryle,9
hose_clave9732,cZ6e#NFKgetr,2024-11-17,What was the name of your first stuffed animal?,Kamren,10
brake_molding638,IrBJ3c3P3Hd9,2024-01-30,What is your oldest cousin's first name?,Omie,11
option_bake3594,CU69AXGAH$KZ,2024-09-07,What was the name of your first stuffed animal?,Arizona,12
pusher_file45,2G2eZVx7Onsf,2024-06-01,What is the name of your favorite childhood friend?,Mindy,13
ugly_fabric6133,bWzqvFpDcH#N,2024-04-07,What is the name of your favorite childhood friend?,Hays,14
stucco_pannier951,0ZqYJWWzPqjb,2024-09-30,What is the first name of the boy or girl that you first kissed?,Gretchen,15
subsection_vinyl7884,55jojmR9utYm,2023-06-19,What is your oldest cousin's first name?,Kaylee,16
garage_beach3157,r3kMwZAnhQKT,2023-04-06,What was the name of your first stuffed animal?,Reuben,17
sculptural_welfare5600,RA6FXP#Z6mj@,2023-12-15,What is the first name of the boy or girl that you first kissed?,Savanah,18
sandwich_paste9165,AE29e5hUr@R0,2024-03-29,What is your oldest cousin's first name?,Aditya,19
schizophrenic_organizing8689,qoH6oZ39ArYv,2023-06-25,What is your oldest sibling's middle name?,Dorene,20
alphabet_platform2175,RQAM&QJ9$lXm,2024-09-13,What was the name of your first pet?,Debby,21
nondisclosure_naughty1080,BwM3orGK^6T5,2024-07-04,What is the first name of the boy or girl that you first kissed?,Nicklaus,22
fortune_host4398,PxzlzcL0fiyZ,2024-06-20,What was the name of your first pet?,Thurston,23
picayune_hero3083,T6tV%CBINIA4,2023-07-23,What is your oldest cousin's first name?,Lydia,24
division_veal3935,QIzCfpPpTjXJ,2024-02-04,What was the name of your first stuffed animal?,Cheyenne,25
rivulet_step-mother3552,XgAGh2TdZmG8,2024-08-21,What is your oldest sibling's middle name?,Santino,26
guard_salt6130,ZBqMEIxqp0%7,2023-09-25,What is your oldest sibling's middle name?,Jason,27
trolley_gravity7315,YUn%KLuKRxre,2022-12-17,What was your childhood nickname?,Latonia,28
tomography_hesitation8116,l0xklt987S&R,2023-08-19,What was the name of your first pet?,Alessandra,29
step-father_humanity4913,VGhcJCHBDU9u,2024-07-02,What was the name of your first pet?,Roger,30
narrative_ninja7815,X*MxLpCxwDo1,2023-07-26,What was the name of your first pet?,Babyboy,31
