card_number,valid_from,expiry,security_code,x-coordinate,y-coordinate,mean_amount,std_amount,mean_nb_tx_per_day,cust_id,card_type_id
2261372776857602,2020-02-01,2030-02-01,349,20.40876611557603,46.90407475181539,81.09,40.55,0.72,466,6
2692625660931414,2021-12-01,2031-12-01,186,43.68507026151796,72.95082286523967,77.72,38.86,0.64,519,2
5574523805525785,2015-09-01,2025-09-01,841,16.704190790094987,16.761921628831765,8.48,4.24,2.95,634,4
4704726426121209,2016-05-01,2026-05-01,843,0.6379043406590679,97.83547870568566,96.75,48.38,1.58,75,10
2274288734496686,2020-04-01,2030-04-01,679,10.948236606899398,96.58366688075836,21.6,10.8,2.59,195,3
4055605712198813,2015-03-01,2025-03-01,778,3.3676403874464023,87.91857726012476,28.12,14.06,2.23,218,4
4987036883004833,2021-03-01,2031-03-01,936,17.396370590333866,36.121605897581176,65.54,32.77,0.28,992,8
4932501249552896,2017-01-01,2027-01-01,891,86.89049844787182,57.060974663882966,7.89,3.94,3.72,306,2
2338083906540252,2022-04-01,2032-04-01,519,49.295697165586006,33.01559503156044,15.15,7.58,3.81,245,4
2286797232002495,2020-05-01,2030-05-01,854,95.95766443210334,48.785404392636245,15.42,7.71,2.19,562,3
2276366941180059,2016-12-01,2026-12-01,759,35.34213793027181,23.687055897448207,79.15,39.58,1.1,792,2
4798214339527538,2019-08-01,2029-08-01,749,16.52844901429574,0.1992135219070268,73.28,36.64,2.93,592,10
4334270866882630,2017-04-01,2027-04-01,351,58.43143119231002,90.11580104909888,9.32,4.66,1.12,10,10
4695832197199753,2022-05-01,2032-05-01,172,76.10239909429988,62.62203216314154,17.47,8.73,0.13,271,2
4427865619425575,2020-08-01,2030-08-01,820,37.11129384301278,92.07666084633571,60.52,30.26,2.15,291,2
5466670808509604,2021-07-01,2031-07-01,587,80.69654908839937,45.96648704026613,56.92,28.46,1.73,639,9
4165423567782658,2022-08-01,2032-08-01,608,27.927608845441043,64.28819100587077,70.94,35.47,2.05,584,1
4749075399893544,2017-10-01,2027-10-01,926,99.21580148233129,85.14249577450957,24.81,12.4,3.72,95,6
2222983691573765,2021-02-01,2031-02-01,105,25.715235110909585,71.93881555748203,7.67,3.83,1.5,153,3
4549147744735357,2015-04-01,2025-04-01,478,69.20505530397449,13.998737672176286,44.5,22.25,2.19,307,3
4241393696789767,2013-07-01,2023-07-01,987,30.77709052931491,61.36379029893838,90.3,45.15,3.24,227,4
2224324165185489,2017-02-01,2027-02-01,966,85.7857783517489,30.49031243850635,23.3,11.65,0.52,503,3
4790833509025425,2018-11-01,2028-11-01,730,85.65372237479268,70.11698615902597,74.07,37.03,2.25,281,9
4335174656426013,2022-04-01,2032-04-01,637,46.77206159711509,60.5896815179483,45.69,22.84,0.11,366,4
4100643322622778,2020-11-01,2030-11-01,733,34.327548906444825,85.20484158046929,58.13,29.07,2.06,254,9
4182755394237334,2017-01-01,2027-01-01,433,24.640203323910683,81.91023176741997,80.94,40.47,2.78,509,1
4202665686295914,2015-04-01,2025-04-01,573,29.661248215709318,7.718753022646796,21.14,10.57,0.51,842,5
4104625069296565,2022-01-01,2032-01-01,512,62.60547089808013,7.527871665167362,15.68,7.84,0.2,982,8
2524000208601461,2013-03-01,2023-03-01,519,59.63464974967759,27.4212889124147,7.53,3.77,2.94,513,10
2267609441283332,2020-10-01,2030-10-01,218,36.95741994267732,46.423851973922496,73.66,36.83,2.63,816,5
2260803149982504,2022-01-01,2032-01-01,4,26.5326137555467,60.15538792998241,33.17,16.59,2.86,36,4
4424238397283397,2014-09-01,2024-09-01,218,16.301911381488623,23.38128330930641,7.25,3.62,3.34,352,8
4601467238497917,2020-04-01,2030-04-01,202,75.11780478084181,7.100766453325546,12.62,6.31,1.42,2,6
4187328077113068,2016-01-01,2026-01-01,113,19.524060295649203,34.53419522448878,36.88,18.44,3.91,398,1
4754602734151486,2021-08-01,2031-08-01,814,71.63233880626822,7.208433599867337,11.77,5.88,0.05,773,4
4586314417064622,2018-12-01,2028-12-01,540,97.53431334790706,81.69739072718367,85.99,42.99,3.75,296,10
4592361337605234,2013-09-01,2023-09-01,458,10.587431821312933,35.4897683486554,44.25,22.12,2.7,514,3
4671560587905228,2017-04-01,2027-04-01,413,84.39934719420248,26.240837648930192,45.06,22.53,0.16,658,10
4004938819490532,2014-01-01,2024-01-01,520,22.65216260361057,61.39703063252326,29.02,14.51,2.31,745,3
5503172665282461,2022-02-01,2032-02-01,549,57.27702766869458,81.94956853860523,36.04,18.02,1.4,320,1
2299136248355057,2018-03-01,2028-03-01,296,86.29968313588721,88.60934353132082,23.68,11.84,2.95,84,7
4782019043223029,2016-04-01,2026-04-01,332,50.03594462155606,69.08839765508228,71.23,35.62,2.59,817,3
4698069087261768,2013-06-01,2023-06-01,723,19.51665172186504,48.93925374065887,75.46,37.73,1.97,518,8
4100231429001854,2014-05-01,2024-05-01,327,82.21031606002255,38.04200075075623,78.68,39.34,3.86,904,1
5382744857086201,2019-02-01,2029-02-01,935,4.209318963636188,1.787393473341381,98.83,49.41,1.71,773,8
2720994004108477,2014-11-01,2024-11-01,351,7.266558758115671,19.90934199359257,38.04,19.02,2.48,236,2
5426691215353963,2015-01-01,2025-01-01,367,87.07534503372591,78.23854840582734,58.87,29.43,2.95,444,8
2298564717784013,2013-07-01,2023-07-01,271,45.93436555939564,5.510153515883109,45.55,22.77,1.88,955,1
4524831968636479,2013-05-01,2023-05-01,465,84.29454824561972,44.58866198598079,72.32,36.16,2.93,514,2
2716670662532440,2020-07-01,2030-07-01,209,81.707207094928,25.790282704493983,21.23,10.62,2.67,654,4
