Unnamed: 0,TXN_ID,TX_DATETIME,CARD_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TXN_TYPE_ID,M_ID
0,202206010719052683552312432925059,2022-06-01 07:19:05,2683552312432925,59,33.89,26345,0,2,12
1,202206011902022683552312432925066,2022-06-01 19:02:02,2683552312432925,66,12.75,68522,0,2,2
2,202206011800162683552312432925007,2022-06-01 18:00:16,2683552312432925,7,21.21,64816,0,1,8
3,202206021513022683552312432925041,2022-06-02 15:13:02,2683552312432925,41,8.87,141182,1,2,11
4,202206021405382683552312432925076,2022-06-02 14:05:38,2683552312432925,76,17.36,137138,1,2,2
5,202206021546512683552312432925074,2022-06-02 15:46:51,2683552312432925,74,3.72,143211,1,2,13
6,202206020851062683552312432925060,2022-06-02 08:51:06,2683552312432925,60,15.0,118266,1,2,2
7,202206022024472683552312432925047,2022-06-02 20:24:47,2683552312432925,47,14.23,159887,1,2,12
8,202206031215472683552312432925072,2022-06-03 12:15:47,2683552312432925,72,32.34,216947,2,1,7
9,202206030850092683552312432925053,2022-06-03 08:50:09,2683552312432925,53,18.57,204609,2,2,9
10,202206030925492683552312432925087,2022-06-03 09:25:49,2683552312432925,87,7.8,206749,2,4,12
11,202206031533142683552312432925036,2022-06-03 15:33:14,2683552312432925,36,13.77,228794,2,2,3
12,202206030741242683552312432925076,2022-06-03 07:41:24,2683552312432925,76,25.57,200484,2,2,1
13,202206040115352683552312432925020,2022-06-04 01:15:35,2683552312432925,20,12.72,263735,3,2,3
14,202206040933582683552312432925045,2022-06-04 09:33:58,2683552312432925,45,6.37,293638,3,2,6
15,202206051619092683552312432925020,2022-06-05 16:19:09,2683552312432925,20,9.42,404349,4,2,6
16,202206061408582683552312432925016,2022-06-06 14:08:58,2683552312432925,16,16.83,482938,5,2,4
17,202206071422462683552312432925089,2022-06-07 14:22:46,2683552312432925,89,11.65,570166,6,2,1
18,202206070959052683552312432925041,2022-06-07 09:59:05,2683552312432925,41,11.33,554345,6,2,4
19,202206071000082683552312432925079,2022-06-07 10:00:08,2683552312432925,79,10.13,554408,6,2,13
20,202206090224342683552312432925100,2022-06-09 02:24:34,2683552312432925,100,9.32,699874,8,4,12
21,202206091217182683552312432925088,2022-06-09 12:17:18,2683552312432925,88,23.3,735438,8,1,13
22,202206101242592683552312432925025,2022-06-10 12:42:59,2683552312432925,25,8.61,823379,9,2,12
23,202206101739172683552312432925047,2022-06-10 17:39:17,2683552312432925,47,19.99,841157,9,2,9
24,202206120503022683552312432925016,2022-06-12 05:03:02,2683552312432925,16,7.12,968582,11,2,7
25,202206131700162683552312432925011,2022-06-13 17:00:16,2683552312432925,11,29.78,1098016,12,2,2
26,202206132231572683552312432925097,2022-06-13 22:31:57,2683552312432925,97,27.14,1117917,12,2,8
27,202206131100012683552312432925049,2022-06-13 11:00:01,2683552312432925,49,7.93,1076401,12,2,4
28,202206141751292683552312432925072,2022-06-14 17:51:29,2683552312432925,72,17.16,1187489,13,2,9
29,202206142155172683552312432925082,2022-06-14 21:55:17,2683552312432925,82,18.15,1202117,13,2,4
30,202206141413592683552312432925016,2022-06-14 14:13:59,2683552312432925,16,33.15,1174439,13,2,4
31,202206140430442683552312432925053,2022-06-14 04:30:44,2683552312432925,53,6.22,1139444,13,2,12
32,202206141723072683552312432925068,2022-06-14 17:23:07,2683552312432925,68,7.05,1185787,13,2,11
33,202206152247522683552312432925048,2022-06-15 22:47:52,2683552312432925,48,33.49,1291672,14,2,7
34,202206162013302683552312432925089,2022-06-16 20:13:30,2683552312432925,89,14.78,1368810,15,2,4
35,202206161627292683552312432925090,2022-06-16 16:27:29,2683552312432925,90,25.16,1355249,15,2,11
36,202206161108192683552312432925036,2022-06-16 11:08:19,2683552312432925,36,22.31,1336099,15,2,5
37,202206181707242683552312432925082,2022-06-18 17:07:24,2683552312432925,82,16.68,1530444,17,2,4
38,202206181216372683552312432925072,2022-06-18 12:16:37,2683552312432925,72,9.08,1512997,17,2,5
39,202206181335472683552312432925069,2022-06-18 13:35:47,2683552312432925,69,20.15,1517747,17,2,6
40,202206191416022683552312432925078,2022-06-19 14:16:02,2683552312432925,78,13.35,1606562,18,2,1
41,202206192216252683552312432925041,2022-06-19 22:16:25,2683552312432925,41,22.81,1635385,18,2,1
42,202206201415492683552312432925010,2022-06-20 14:15:49,2683552312432925,10,28.55,1692949,19,2,12
43,202206200727152683552312432925082,2022-06-20 07:27:15,2683552312432925,82,17.78,1668435,19,2,13
44,202206220449382683552312432925002,2022-06-22 04:49:38,2683552312432925,2,11.64,1831778,21,2,11
45,202206231545282683552312432925015,2022-06-23 15:45:28,2683552312432925,15,20.45,1957528,22,2,1
46,202206230555382683552312432925060,2022-06-23 05:55:38,2683552312432925,60,4.33,1922138,22,2,3
47,202206231426272683552312432925100,2022-06-23 14:26:27,2683552312432925,100,18.49,1952787,22,2,7
48,202206241531402683552312432925095,2022-06-24 15:31:40,2683552312432925,95,5.83,2043100,23,2,9
49,202206240926082683552312432925090,2022-06-24 09:26:08,2683552312432925,90,16.49,2021168,23,2,8
50,202206242131062683552312432925002,2022-06-24 21:31:06,2683552312432925,2,10.71,2064666,23,2,5
51,202206260724312683552312432925089,2022-06-26 07:24:31,2683552312432925,89,7.27,2186671,25,2,5
52,202206260934032683552312432925074,2022-06-26 09:34:03,2683552312432925,74,12.82,2194443,25,2,5
53,202206272243102683552312432925049,2022-06-27 22:43:10,2683552312432925,49,6.6,2328190,26,2,5
54,202206271641272683552312432925039,2022-06-27 16:41:27,2683552312432925,39,8.53,2306487,26,2,6
55,202206270325042683552312432925048,2022-06-27 03:25:04,2683552312432925,48,27.22,2258704,26,2,1
56,202206281345382683552312432925100,2022-06-28 13:45:38,2683552312432925,100,8.24,2382338,27,2,13
57,202206281547112683552312432925011,2022-06-28 15:47:11,2683552312432925,11,10.21,2389631,27,2,5
58,202206280810092683552312432925032,2022-06-28 08:10:09,2683552312432925,32,13.18,2362209,27,1,5
59,202206291205492683552312432925086,2022-06-29 12:05:49,2683552312432925,86,11.57,2462749,28,2,6
60,202206300551522683552312432925038,2022-06-30 05:51:52,2683552312432925,38,17.52,2526712,29,2,9
61,202206300753282683552312432925039,2022-06-30 07:53:28,2683552312432925,39,30.25,2534008,29,2,9
62,202207011146542683552312432925025,2022-07-01 11:46:54,2683552312432925,25,7.09,2634414,30,2,2
63,202207021925302683552312432925079,2022-07-02 19:25:30,2683552312432925,79,13.92,2748330,31,2,1
64,202207021040122683552312432925069,2022-07-02 10:40:12,2683552312432925,69,26.46,2716812,31,2,7
65,202207021538252683552312432925015,2022-07-02 15:38:25,2683552312432925,15,22.54,2734705,31,2,4
66,202207020301002683552312432925015,2022-07-02 03:01:00,2683552312432925,15,16.86,2689260,31,2,13
67,202207030753592683552312432925048,2022-07-03 07:53:59,2683552312432925,48,21.53,2793239,32,2,3
68,202207031839052683552312432925076,2022-07-03 18:39:05,2683552312432925,76,13.8,2831945,32,2,6
69,202207031550332683552312432925074,2022-07-03 15:50:33,2683552312432925,74,20.09,2821833,32,2,1
70,202207031749112683552312432925016,2022-07-03 17:49:11,2683552312432925,16,13.45,2828951,32,4,2
71,202207040925282683552312432925047,2022-07-04 09:25:28,2683552312432925,47,21.18,2885128,33,2,10
72,202207051252102683552312432925082,2022-07-05 12:52:10,2683552312432925,82,19.05,2983930,34,2,3
73,202207060405182683552312432925045,2022-07-06 04:05:18,2683552312432925,45,12.86,3038718,35,1,5
74,202207070859022683552312432925100,2022-07-07 08:59:02,2683552312432925,100,20.62,3142742,36,2,1
75,202207101809122683552312432925018,2022-07-10 18:09:12,2683552312432925,18,18.58,3434952,39,1,10
76,202207100646322683552312432925082,2022-07-10 06:46:32,2683552312432925,82,25.01,3393992,39,2,3
77,202207110605442683552312432925049,2022-07-11 06:05:44,2683552312432925,49,9.5,3477944,40,2,7
78,202207120533352683552312432925079,2022-07-12 05:33:35,2683552312432925,79,13.34,3562415,41,2,2
79,202207121736242683552312432925036,2022-07-12 17:36:24,2683552312432925,36,23.16,3605784,41,2,12
80,202207120757182683552312432925088,2022-07-12 07:57:18,2683552312432925,88,24.24,3571038,41,2,5
81,202207130523422683552312432925082,2022-07-13 05:23:42,2683552312432925,82,12.74,3648222,42,1,3
82,202207130841132683552312432925087,2022-07-13 08:41:13,2683552312432925,87,16.62,3660073,42,2,12
83,202207140114342683552312432925045,2022-07-14 01:14:34,2683552312432925,45,18.68,3719674,43,2,5
84,202207151413002683552312432925069,2022-07-15 14:13:00,2683552312432925,69,18.31,3852780,44,2,2
85,202207150535042683552312432925015,2022-07-15 05:35:04,2683552312432925,15,25.11,3821704,44,2,4
86,202207151025572683552312432925088,2022-07-15 10:25:57,2683552312432925,88,8.74,3839157,44,2,12
87,202207161739342683552312432925059,2022-07-16 17:39:34,2683552312432925,59,16.09,3951574,45,1,13
88,202207162141002683552312432925048,2022-07-16 21:41:00,2683552312432925,48,14.32,3966060,45,2,7
